Cuentas \ Año,Tipo de cambio US$ 1=S/,ACTIVO,RESERVAS,      Oro acuñado y en barras (Depto. de Reserva),       Aporte en Oro: FMI,      Oro acuñado y en barras (Depto. Bancario),      Divisas o Cambio Extranjero,Recursos Afectos a Obligaciones en Oro y,Moneda Extranjera,APORTE FMI.- Moneda Nacional,MONEDAS DE PLATA Y MENORES,Cheques y Valores de Cobro Inmediato,OPERACIONES GENERALES,    Del Público,        Anticipos,        Descuentos con Colateral Prendaria,        Aceptaciones Bancarias,        Préstamos,        Descuentos,        Contratos por compras de oro,        Cartera Vencida,    De Bancos Asociados,       Redescuentos Bancos Asociados,       Créditos Simples,       Créditos en Cuenta Corriente,    Del Gobierno Nacional,        Varias Cuentas Deudoras,        Empréstito Consolidado,OTRAS CUENTAS,INVERSIONES TRANSITORIAS (En títulos),INVERSIONES PERMANENTES (Muebles e inmuebles),,SUCURSALES,VARIOS CARGOS DIFERIDOS,,TOTAL DEL ACTIVO,PASIVO,OBLIGACIONES SUJETAS A RESERVA,Billetes en Circulación,     Cuenta Billetes,     Billetes en Caja,Depósitos y Exigibilidades en sucres,     Del Público,     Depósito FMI,     BIRF,     De Bancos Asociados,     De Bancos no Asociados,    Del Estado,         Cuenta General del Tesoro,          Otros Depósitos del Gobierno ,          Depósitos de Reparticiones,          Depósitos en Garantía,          Otras Instituciones del Estado,          Depósitos para cubrir sobregiro,OBLIGACIONES EN MONEDAS EXTRANJERAS,     Del Público,     De Bancos Asociados,    Del Estado,         Cuenta General del Tesoro,          Otros Depósitos del Gobierno ,          Depósitos de Reparticiones,          Depósitos a la Vista,          Otras Instituciones del Estado,OTRAS CUENTAS,TOTAL PASIVO,CAPITAL Y RESERVAS,"TOTAL PASIVO , CAPITAL Y RESERVAS E INGRESOS",,TOTAL CUENTAS DE ORDEN 
1936,11,,53,31,-,-,22,,4,-,1,0,41,22,0,0,0,22,0,0,0,1,1,-,-,17,17,-,12,-,2,,-,0,,112,,95,57,88,-32,39,10,0,0,23,0,6,0,0,6,0,0,0,5,5,0,0,0,0,0,0,0,4,104,7,112,,130
1937,11,,50,36,-,-,14,,9,-,0,2,52,23,0,0,0,23,0,0,0,4,4,-,-,26,26,-,10,1,2,,-,16,,143,,122,68,92,-25,54,10,0,0,31,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,131,7,143,,143
1938,14,,41,32,-,4,5,,1,-,2,3,55,47,2,2,4,25,8,0,6,4,4,-,-,5,5,-,9,0,2,,-,6,,119,,102,69,90,-21,33,6,0,0,20,0,6,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,2,106,11,119,,152
1939,15,,41,36,-,3,2,,4,-,2,10,55,22,1,1,5,4,10,0,1,4,4,-,-,29,5,24,3,8,3,,-,3,,128,,107,69,90 ,-21,39,10,0,0,21,0,8,3,0,5,0,0,0,4,3,0,1,1,0,0,0,0,5,116,11,128,,228
1940,16,,79,52,-,9,18,,16,-,7,8,51,20,1,1,3,4,8,1,2,5,5,-,-,26,3,23,2,8,4,,-,0,,176,,131,78,99,-21,53,14,0,0,31,0,8,0,3,5,0,0,0,16,15,0,1,0,1,0,0,0,2,149,26,176,,298
1941,15,,115,70,2,0,43,,16,-,7,13,70,25,0,1,1,4,16,0,1,8,7,-,1,37,15,22,3,7,5,,-,0,,237,,190,116,146,-30,74,19,0,0,42,0,12,0,2,9,0,1,0,16,14,0,2,2,0,0,0,0,3,209,27,237,,219
1942,14,,207,130,-,3,73,,28,-,5,11,65,19,0,1,1,6,10,0,1,9,9,-,0,37,15,22,16,7,6,,-,4,,350,,295,169,202,-33,125,28,0,0,71,0,27,7,6,11,0,3,0,28,27,0,1,0,0,0,0,0,6,329,20,350,,276
1943,14,,360,232,-,4,124,,34,-,3,20,62,15,0,0,0,7,6,0,1,13,12,-,0,34,13,21,27,7,6,,-,16,,535,,409,230,278,-48,179,50,0,0,89,0,39,0,16,19,0,5,0,34,28,0,6,2,3,0,0,0,65,508,26,535,,261
1944,14,,467,288,-,0,179,,18,-,17,9,76,7,0,0,5,0,0,0,1,9,9,-,0,60,40,20,24,27,4,,-,18,,660,,598,313,357,-44,285,40,0,0,193,0,53,0,26,17,0,9,0,18,15,,3,0,2,0,0,0,26,642,17,660,,579
1945,14,,365,288,-,1,76,,80,-,14,9,140,9,0,4,3,0,0,0,1,26,24,-,2,105,1,103,70,5,3,,5,1,,693,,589,335,435,-99,254,38,0,0,175,0,41,0,8,20,0,13,0,74,73,0,1,0,0,1,0,0,1,665,25,693,,615
1946,14,,396,273,17,0,107,,112,51,13,14,186,9,0,3,5,0,0,0,1,24,24,-,0,153,14,139,70,12,2,,2,1,,859,,711,362,418,-57,349,43,51,3,212,1,39,0,9,21,0,8,0,112,107,0,5,2,2,1,0,0,2,825,31,859,,610
1947,14,,343,274,17,1,51,,32,51,40,13,196,90,2,29,47,0,8,1,3,2,1,-,1,104,9,95,40,10,1,,3,1,,730,,641,338,424,-85,303,46,51,8,137,5,57,11,11,1,26,7,0,32,28,0,4,0,3,0,0,0,13,686,39,730,,628
